TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
task,The SSL Case for the listen Feature,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,12. Managing Windows Hosts,,,,,,,,,,
task,Connection to Windows,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,PowerShell,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Windows Modules,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Our Java Development Machine,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Adding a Local User,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Windows Features,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Installing Software with Chocolatey,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Configuration of Java,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Updating Windows,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,13. Ansible and Containers,,,,,,,,,,
task,Kubernetes,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Docker Application Life Cycle,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Registries,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Ansible and Docker,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Connecting to the Docker Daemon,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Example Application: Ghost,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running a Docker Container on Our Local Machine,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Building an Image from a Dockerfile,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Pushing Our Image to the Docker Registry,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Orchestrating Multiple Containers on Our Local Machine,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Querying Local Images,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Deploying the Dockerized Application,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Provisioning MySQL,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Deploying the Ghost Database,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Frontend,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Frontend: Ghost,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Frontend: NGINX,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Cleaning Out Containers,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,14. Quality Assurance with Molecule,,,,,,,,,,
task,Installation and Setup,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Configuring Molecule Drivers,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Creating an Ansible Role,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Scenarios,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Desired State,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Configuring Scenarios in Molecule,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Managing Virtual Machines,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Managing Containers,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Molecule Commands,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Linting,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,YAMLlint,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,ansible-lint,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,ansible-later,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Verifiers,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Ansible,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Goss,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,TestInfra,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,15. Collections,,,,,,,,,,
task,Installing Collections,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Listing Collections,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Using Collections in a Playbook,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Developing a Collection,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,16. Creating Images,,,,,,,,,,
task,Creating Images with Packer,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Vagrant VirtualBox VM,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Combining Packer and Vagrant,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Cloud Images,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Google Cloud Platform,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Azure,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Amazon EC2,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
